Claim Number,Claim Feature,Policy Number,Policy Effective Date,Loss Description,Type of injury,Loss state,Loss Date,Insured Company Name,Paid Indemnity,Paid DCC,Outstanding Indemnity,Outstanding DCC,Adjuster Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0008,Products Liability,POL-GL-234567,2022-09-01,Defective exercise equipment caused injury at gym,Bodily Injury,WA,2023-09-15,FitLife Equipment Distributors,150000,40000,50000,10000,"09/15/2023 - INITIAL REPORT: Treadmill belt separated during use causing runner to fall. Marcus Chen (34yo) marathon runner severely injured. LIABILITY: Products defect apparent - belt adhesive failure. | 09/16/2023 - CLAIMANT PROFILE: Marcus Chen - competitive marathon runner, qualified for Boston Marathon. Treating physician: Dr. Sarah Kim, sports medicine. Immediate surgery scheduled. | 09/18/2023 - PRODUCT INVESTIGATION: Belt adhesive failure confirmed by expert. Manufacturer (TechnoFit) issued recall 2 days after incident. Our insured sold 150 units of affected batch. NOTICE LETTERS: Sent to all purchasers. | 09/25/2023 - MEDICAL UPDATE: ACL tear, meniscus damage, complex knee reconstruction performed. Initial prognosis: 12-18 month recovery, competitive running career likely over. INJURY SEVERITY: 8/10 for athlete. | 10/01/2023 - COVERAGE VERIFICATION: Products liability confirmed. Vendor endorsement names manufacturer as additional insured. Tender to manufacturer's carrier sent. | 10/15/2023 - LITIGATION: King County Superior Court #23-2-45678-1. Counsel: Davis Wright Tremaine (product liability specialists). Well-pled complaint including strict liability, negligence. | 11/01/2023 - DAMAGES ASSESSMENT: Medical: $75K to date. Future medical: $40K. Lost earnings: Professional athlete endorsements $200K+/year. Pain/suffering: Significant given loss of athletic identity. | 12/01/2023 - SETTLEMENT STRATEGY: Manufacturer's carrier accepted tender but only $100K limits. Our layer excess. Settled our portion at $150K. Structure: $150K cash to coordinate with manufacturer's payment. | ONGOING: Additional claims expected from recall. Aggregate exposure monitoring.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0009,Advertising Injury,POL-GL-789456,2023-04-01,Competitor alleges trademark infringement in marketing campaign,Advertising Injury,CA,2023-10-02,Digital Marketing Innovations,0,35000,125000,40000,"10/02/2023 - INITIAL REPORT: Cease & desist received regarding allegedly infringing ad campaign using similar tagline. No bodily injury. LIABILITY ASSESSMENT: Moderate (60%) - Tagline similar but not identical, arguable fair use. | 10/03/2023 - INFRINGEMENT REVIEW: Campaign tagline 'Always Moving Forward' vs. competitor's registered 'Always Moving You Forward'. Legal opinion: Colorable claim but defensible. | 10/10/2023 - COVERAGE ANALYSIS: Personal & advertising injury coverage applies. IP exclusion reviewed - doesn't apply to trademark claims. Limit $1M. Defense costs outside limits. | 10/20/2023 - LITIGATION FILED: C.D. Cal. Case #2:23-cv-07890. Plaintiff seeking injunction and damages. Plaintiff counsel: Latham & Watkins. VENUE: Federal court, experienced IP judges. | 11/01/2023 - DEFENSE STRATEGY: Retained Latham & Watkins IP group. Strategy: 1) Fair use defense 2) No consumer confusion 3) Different markets. Settlement likely better than protracted litigation. | 11/15/2023 - DISCOVERY PROBLEMS: Email evidence shows marketing team aware of competitor's mark. Discussed 'sailing close to the wind.' Damages defense, increases settlement value. | 12/01/2023 - SETTLEMENT NEGOTIATIONS: Plaintiff demanding $400K and permanent injunction. Counter at $75K and modified use agreement. MEDIATOR: JAMS, Hon. James Ware (ret.). | 12/15/2023 - ONGOING STATUS: Reserve at $165K. Negotiating modified use that allows completion of current campaign. Business relationship preservation important - same industry.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0010,Environmental,POL-GL-456123,2022-11-01,Chemical spill at manufacturing facility affected neighboring properties,Property Damage,OH,2023-11-15,Midwest Chemical Solutions,185000,55000,315000,45000,"11/15/2023 - ENVIRONMENTAL INCIDENT: Storage tank leak released 500 gallons of industrial solvent. Migrated to 3 adjacent residential properties. No bodily injuries reported. | 11/16/2023 - EMERGENCY RESPONSE: EPA on-site coordinator activated. HazMat team contained spill. Initial remediation started. Residents evacuated as precaution - no injuries. | 11/20/2023 - COVERAGE ANALYSIS: Pollution exclusion with sudden & accidental exception. Tank failure was sudden rupture, not gradual. Coverage likely available but contested. | 11/25/2023 - CONTAMINATION ASSESSMENT: Soil and groundwater impact confirmed. 3 residential wells contaminated. Benzene levels 10x EPA limits. Long-term remediation required. | 12/01/2023 - REGULATORY ACTION: Ohio EPA Notice of Violation issued. Potential fines $250K+. Criminal investigation possible if negligence proven. Cooperating fully. | 12/10/2023 - PROPERTY DAMAGE CLAIMS: 3 property owners represented by Environmental Law Group LLC. Demanding property value diminution, remediation costs, relocation expenses. | 12/20/2023 - REMEDIATION PLAN: Initial estimate $500K+ for full cleanup. 2-year timeline. Includes soil removal, groundwater treatment, monitoring wells. | 01/15/2024 - SETTLEMENT PROGRESS: Paid $185K initial emergency response. Long-term remediation reserved at $315K. Working with EPA on consent decree. No bodily injury claims yet but monitoring.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0011,Slip and Fall,POL-GL-789789,2023-02-01,Elderly customer fell in grocery store produce section,Bodily Injury,MI,2023-12-20,Fresh Markets Group LLC,58000,12000,0,0,"12/20/2023 - INITIAL REPORT: Agnes Murphy (78yo) slipped on grape in produce section. Hip injury, ambulance transport. LIABILITY ASSESSMENT: Strong (85%) - Grape on floor 45 minutes per video review. | 12/21/2023 - INVESTIGATION DETAILS: Store video shows grape fell at 1:15 PM, accident at 2:00 PM. No floor inspection in interim. Industry standard is 30-minute sweeps. Clear breach of duty. | 12/22/2023 - MEDICAL SEVERITY: Hip fracture requiring replacement surgery. Admit to skilled nursing for rehab. INJURY SEVERITY SCORE: 7/10 given age. Complications risk high. | 12/28/2023 - COVERAGE CONFIRMED: Premises liability clear. Policy limits $1M/$2M adequate. Similar prior claim last year settled $42K (younger claimant, less severe injury). | 01/05/2024 - ATTORNEY ENGAGEMENT: Bernstein & Associates representing. Reasonable firm, typically settle pre-suit. Initial demand expected 6x medicals given age and surgery. | 01/15/2024 - MEDICAL COSTS: Surgery $45K, SNF rehab $7K ongoing. Future medical needs: Possible revision surgery, home modifications. Total medical estimate $65K. | 01/25/2024 - SETTLEMENT REACHED: Demanded $195K, settled $58K plus medicals. Factors: Partial weight bearing at 6 weeks, good recovery prognosis, limited lost wages (retired). | 02/01/2024 - CLAIM CLOSED: Release obtained without complications. Implemented produce department changes: 15-minute floor checks, improved grape displays, additional matting.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0012,Construction Defect,POL-GL-123789,2022-08-01,Water intrusion in newly constructed condos,Property Damage,AZ,2023-12-28,Desert Sun Construction Co,225000,65000,475000,85000,"12/28/2023 - INITIAL REPORT: 15-unit condo complex experiencing water intrusion through windows. No bodily injury. LIABILITY: High (90%) - Our insured was window installation subcontractor. | 12/29/2023 - SITE INSPECTION: Extensive water damage in 12 units. Windows improperly flashed, missing sealant. Mold beginning in 5 units. Code violations apparent. | 01/05/2024 - COVERAGE CONFIRMED: Construction defect coverage under completed operations. Policy period when work performed (2022). Notice to excess carrier sent - potential aggregate issue. | 01/15/2024 - CLAIMANT: HOA represented by Berger Kahn (construction defect specialists). Demand includes repair costs, relocation expenses, diminution in value. Class action potential. | 02/01/2024 - LITIGATION: Maricopa County #CV2024-001234. Multiple parties: GC, architect, other subs. Complex litigation anticipated. VENUE: Arizona courts experienced with construction defect. | 02/15/2024 - DEFENSE COUNSEL: Snell & Wilmer retained. Strategy includes pointing to GC supervision, architect's specifications. Our exposure estimated 40% of total damages. | 03/01/2024 - EXPERT OPINIONS: Window installation clearly defective per building standards. No defense on liability. Focus on damage allocation among defendants. | 04/01/2024 - PARTIAL PAYMENT: Emergency repairs funded at $225K to prevent further damage. Full resolution pending. Reserve remaining $475K for final settlement/verdict.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0013,Assault,POL-GL-456456,2023-06-01,Customer attacked in parking lot,Bodily Injury,GA,2024-01-10,Peachtree Shopping Center LLC,42000,18000,0,0,"01/10/2024 - Initial Report: Shopper robbed and assaulted in parking lot. Inadequate lighting alleged. | 01/11/2024 - Investigation: 3rd similar incident in 6 months. Prior complaints about security documented. | 01/15/2024 - Injuries: Broken nose, concussion, psychological trauma. Victim: Robert Hayes, 52yo. | 01/20/2024 - Coverage: Premises liability applies. Review security negligence angle. | 01/25/2024 - Legal Rep: Hayes retained Kaufman Law. Prior incidents will be focus. | 02/05/2024 - Crime Statistics: Police reports confirm pattern. Liability strong. | 02/15/2024 - Settlement: Quick resolution at $42,000 to avoid punitive exposure. | 02/25/2024 - Closed: Enhanced security measures implemented post-claim.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0014,Professional E&O,POL-GL-789123,2023-09-01,Accounting error led to client IRS penalties,Financial Loss,CT,2024-02-05,Premier Accounting Services,0,28000,150000,35000,"02/05/2024 - INITIAL REPORT: CPA firm error on corporate tax returns caused $125K in IRS penalties. No bodily injury. LIABILITY: High (90%) - Clear error in foreign income reporting, FBAR not filed. | 02/06/2024 - ERROR DETAILS: 2022 returns incorrectly reported foreign subsidiary income. Failed to file Form 5471 and FBAR. Penalties plus interest accruing. Clear professional negligence. | 02/10/2024 - COVERAGE CONFIRMED: Professional liability endorsement triggered. $1M limit, $25K deductible. Retroactive date 2015 satisfied. Claims-made policy, reported timely. | 02/20/2024 - CLIENT PROFILE: Mid-size manufacturing company, $50M revenue. Long-term client (10 years). IRS penalties creating cash flow issues. Relationship at risk. | 03/01/2024 - LITIGATION FILED: Hartford Superior Court #HHD-CV-24-1234567. Plaintiff counsel: Day Pitney LLP. Seeking penalties, interest, and consequential damages. | 03/15/2024 - DEFENSE STRATEGY: Day Pitney LLP retained. Reviewing whether client provided complete information. Work papers show some foreign income data missing from client. | 04/01/2024 - DISCOVERY FINDINGS: Work papers show client provided incomplete information BUT CPA should have identified and requested. Comparative negligence defense (30% client fault). | 04/15/2024 - ONGOING STATUS: Mediation scheduled May 2024. Reserve at $150K. Client wants business relationship preserved if possible. May impact settlement structure.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0015,Product Recall,POL-GL-234234,2023-11-01,Children's toy contains lead paint,Bodily Injury,PA,2024-03-12,Happy Kids Toy Distributors,125000,45000,175000,35000,"03/12/2024 - INITIAL REPORT: CPSC testing found lead paint on imported wooden toys. 5,000 units distributed. LIABILITY ASSESSMENT: Strict (100%) - Lead in children's products is strict liability. | 03/13/2024 - RECALL INITIATED: Voluntary recall with CPSC cooperation. 5,000 units across 15 states. Import documents show no lead testing performed. Supplier fraud suspected. | 03/15/2024 - INJURY CLAIMS: 3 families report elevated blood lead levels in children. Ages 2-4 years. Medical monitoring required. INJURY SEVERITY SCORE: 6/10 - cognitive impacts possible. | 03/20/2024 - COVERAGE ANALYSIS: Products liability and recall expense coverage both apply. $2M products limit, $500K recall sublimit. Multiple claimant situation developing. | 03/25/2024 - MEDICAL MONITORING: Pediatric toxicologist recommends 5-year monitoring program for all exposed children. Estimated cost $2K per child. 2,000 units sold. | 04/01/2024 - CLASS ACTION FILED: E.D. Pa. #2:24-cv-01234. Kessler Topaz representing class. Seeking medical monitoring for all purchasers. Potential class of 5,000. | 04/15/2024 - INDIVIDUAL SETTLEMENTS: 3 families with documented exposure settled - total $125K. Included future monitoring and educational support if needed. | 05/01/2024 - ONGOING EXPOSURE: Class settlement negotiations at $175K for monitoring program. Chinese manufacturer judgment-proof. No indemnity available.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0016,Liquor Liability,POL-GL-567567,2024-01-01,Over-served patron caused fatal DUI accident,Bodily Injury,CO,2024-04-20,Mountain View Tavern Inc,250000,75000,750000,125000,"04/20/2024 - CATASTROPHIC LOSS: Over-served patron (BAC 0.19) caused head-on collision, killing other driver. LIABILITY ASSESSMENT: Very High (95%) - Video shows obvious intoxication, continued service. | 04/21/2024 - INVESTIGATION: Bar video reviewed - patron served 8+ drinks in 3 hours. Last 3 drinks in final hour despite stumbling, slurred speech. Textbook over-service. | 04/22/2024 - FATALITY DETAILS: Victim Sarah Johnson (34yo), mother of two. Husband is NYPD officer. Children ages 6 and 8. Wrongful death damages will be substantial. | 04/25/2024 - CRIMINAL CHARGES: Patron charged vehicular homicide. Bar under criminal investigation for over-service. Creates additional civil liability exposure. | 05/01/2024 - COVERAGE VERIFICATION: Liquor liability endorsement $1M limit. Dram shop statute applies. Punitive damages not covered. Excess carrier notified immediately. | 05/10/2024 - WRONGFUL DEATH CLAIM: Estate represented by Holland & Hart. Policy limits demand expected. Economic loss alone exceeds $2M (30+ years lost earnings). | 05/20/2024 - DEFENSE CHALLENGES: Sherman & Howard retained but facts indefensible. Video evidence devastating. Criminal investigation findings will strengthen civil case. | 06/01/2024 - RESERVE ANALYSIS: Full $1M policy limits reserved. Personal assets of bar owner at risk. Bankruptcy possible. Attempting to negotiate within limits.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0017,Premises Liability,POL-GL-890890,2023-12-01,Dog bite at veterinary clinic,Bodily Injury,OR,2024-05-08,Compassionate Pet Care LLC,28000,7500,0,0,"05/08/2024 - INITIAL REPORT: 8yo girl bitten by dog in waiting room. Owner lost control of aggressive dog. LIABILITY ASSESSMENT: Strong (80%) - Clinic failed to enforce muzzle policy for aggressive dogs. | 05/09/2024 - INVESTIGATION: Clinic has written policy requiring muzzles for aggressive dogs. Dog's chart marked 'aggressive' but policy not enforced. Staff admits awareness. | 05/10/2024 - INJURIES: Facial lacerations requiring plastic surgery, psychological trauma. Victim: Emma Thompson, 8yo. INJURY SEVERITY SCORE: 6/10 physical, 8/10 with psychological impact. | 05/15/2024 - COVERAGE CONFIRMED: Premises liability applies. Animal exclusion doesn't apply - not insured's animal. $1M limit. No prior animal-related claims. | 05/20/2024 - MEDICAL UPDATE: Initial surgery successful, minimal scarring expected. $24K in bills. Child in therapy for trauma. Prognosis good with continued treatment. | 05/25/2024 - SETTLEMENT DISCUSSIONS: Family represented but reasonable. Parents are educators, not litigious. Seeking fair compensation for daughter's trauma and medical bills. | 06/01/2024 - CLAIM RESOLVED: Settled $28K plus medicals. Included future scar revision if needed and therapy costs. New aggressive dog protocols implemented immediately.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0018,Fire Damage,POL-GL-123456,2024-02-01,Welding work caused fire at customer location,Property Damage,TX,2024-06-15,Lone Star Welding Services,185000,25000,0,0,"06/15/2024 - MAJOR LOSS: Welding sparks ignited materials at oil refinery. Significant equipment damage. LIABILITY ASSESSMENT: High (85%) - Hot work permit in place but safety protocols not followed. | 06/16/2024 - FIRE INVESTIGATION: State Fire Marshal confirmed welding sparks as ignition source. Fire blankets not used, fire watch terminated early. Clear breach of hot work procedures. | 06/18/2024 - DAMAGE ASSESSMENT: $180K equipment damage to refinery processing unit. 5-day production shutdown. No injuries fortunately - evacuation procedures worked. | 06/20/2024 - COVERAGE CONFIRMED: CGL responds to property damage. Additional insured endorsement for refinery reviewed - applies. Notice to AI carrier sent. | 06/25/2024 - BUSINESS INTERRUPTION CLAIM: Refinery claiming $500K lost production. Our position: BI excluded unless covered under property damage. Reviewing policy language. | 07/01/2024 - SETTLEMENT STRATEGY: Paid property damage immediately to maintain relationship. BI claim disputed - no coverage for pure economic loss. | 07/10/2024 - RESOLUTION: Negotiated out BI claim based on policy language. Closed at $185K property damage only. Insured implementing enhanced hot work protocols.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0019,Advertising Injury,POL-GL-789012,2023-07-01,Social media campaign used competitor's copyrighted images,Copyright Infringement,WA,2024-06-28,Digital Presence Marketing,0,15000,85000,25000,06/28/2024 - INITIAL NOTICE: DMCA takedown notice received for 12 images used in social media campaign. No bodily injury. LIABILITY: High (85%) - Junior designer used images without verification. | 06/29/2024 - INVESTIGATION: Internal review confirms designer downloaded images from Google without checking rights. All 12 images registered copyrights owned by competitor. Clear infringement. | 07/05/2024 - COVERAGE REVIEW: Advertising injury coverage applies to copyright infringement. $1M limit. No intellectual property exclusion in policy. Prior claims: None. | 07/10/2024 - DEMAND LETTER: Plaintiff seeking $10K per image ($120K total) plus attorney fees. Competitor is direct market rival - animosity exists beyond legal claim. | 07/15/2024 - LITIGATION FILED: W.D. Wash. #2:24-cv-00890. Copyright registrations verified. Plaintiff counsel: Foster Garvey (IP boutique). Statutory damages available. | 07/20/2024 - DEFENSE STRATEGY: Foster Pepper retained. Reviewing fair use defense for 3 images (transformative use argument). Others clearly infringing. | 07/25/2024 - ONGOING NEGOTIATIONS: Plaintiff willing to license retroactively for reasonable fee. Business relationship preservation important - same industry networking. Reserve at $85K.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0020,Environmental,POL-GL-345345,2023-10-01,Dry cleaner solvent contaminated neighboring property,Property Damage,NJ,2024-07-10,Quick Clean Services Inc,95000,35000,405000,65000,07/10/2024 - CONTAMINATION DISCOVERED: Perc migration found during neighbor's property sale. Phase II revealed contamination. LIABILITY: Historical operations created gradual pollution. | 07/11/2024 - HISTORICAL OPERATIONS: Insured operated dry cleaner 1990-2020. Old equipment leaked perchloroethylene into soil. Gradual release over decades. | 07/15/2024 - COVERAGE ANALYSIS: Pollution exclusion applies BUT exception for heating equipment. Arguing vapor intrusion from heating system qualifies. Coverage disputed. | 07/20/2024 - NJDEP INVOLVEMENT: Remediation directive issued. Neighboring property transaction stalled. Property value diminution claim emerging. Regulatory compliance required. | 07/25/2024 - PROPERTY DAMAGE CLAIMS: Neighbor demanding cleanup costs plus diminution in value ($500K total). Transaction lost due to contamination. | 08/01/2024 - ENVIRONMENTAL CONSULTANT: Phase II confirmed plume extends 50 feet onto neighbor's property. Vapor intrusion into basement. Years of remediation needed. | 08/10/2024 - INITIAL PAYMENT: Emergency remediation started at $95K. Long-term monitoring required. Coverage litigation likely while addressing immediate needs. | ONGOING: Complex coverage issues under reservation of rights. Environmental counsel retained. Expect 3-5 year remediation timeline.,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0021,Premises Medical,POL-GL-678678,2024-01-15,Customer had severe allergic reaction in restaurant,Bodily Injury,IL,2024-01-20,Chicago Bistro Group,35000,8000,0,0,"01/20/2024 - MEDICAL EMERGENCY: Customer anaphylactic shock from undisclosed peanuts in sauce. EpiPen administered, 911 called. LIABILITY ASSESSMENT: Very High (95%) - Menu failed to list allergen. | 01/21/2024 - INVESTIGATION: Menu didn't list peanuts in sauce. Kitchen confirmed cross-contamination AND unlisted ingredient. Customer explicitly asked about peanuts - told none. | 01/22/2024 - MEDICAL STATUS: Customer stabilized after ER treatment. History of severe peanut allergy, carries EpiPen. INJURY SEVERITY SCORE: 7/10 - life-threatening but resolved. | 01/25/2024 - COVERAGE CONFIRMED: Bodily injury from food consumption covered. Products/completed operations applies. $2M limit. Prior allergy claim 2 years ago - $15K. | 02/01/2024 - CLAIMANT ATTORNEY: Allergy advocacy group attorney involved. These attorneys pursue systemic changes beyond monetary damages. Policy implications. | 02/10/2024 - MEDICAL BILLS: $31K including ambulance, ER, and follow-up care. Psychological impact - afraid to eat out. Therapy for food-related anxiety. | 02/20/2024 - QUICK SETTLEMENT: Resolved at $35K plus commitment to allergy protocols. Factors: Clear liability, life-threatening event, advocacy group involvement. | 03/01/2024 - CLOSED: Release obtained. Staff retrained on allergen handling. New POS system flags allergy orders. Quarterly allergen training implemented.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0022,Construction Site,POL-GL-901901,2023-08-01,Subcontractor injured at construction site,Bodily Injury,CA,2024-02-15,Pacific Coast Builders,0,12000,125000,18000,"02/15/2024 - SERIOUS INJURY: Roofer fell through unsecured opening. No fall protection in place. LIABILITY ASSESSMENT: High (80%) - GC responsible for site safety, hole unmarked. | 02/16/2024 - OSHA INVESTIGATION: Multiple safety violations cited including fall protection, hole covering. $40K in fines to GC. Criminal referral for willful violations. | 02/18/2024 - INJURIES: Manuel Rodriguez - fractured pelvis, internal injuries. Surgery required. Extended recovery expected. INJURY SEVERITY SCORE: 8/10. Permanent limitations likely. | 02/25/2024 - COVERAGE ISSUE: Additional insured endorsement review - subcontractor naming requirement met. Contractual liability applies. Primary to sub's coverage. | 03/01/2024 - WORKER'S COMP: Subcontractor's WC carrier (State Fund) pursuing subrogation. Grave's Amendment claim - serious and willful misconduct alleged. | 03/10/2024 - LITIGATION: L.A. Superior #24STCV03456. Multiple defendants. Plaintiff counsel: Panish Shea. Known for large construction verdicts. | 03/20/2024 - DEFENSE COMPLEXITY: Multiple defendants pointing fingers. Our insured had site control. Safety violations create presumption of liability. | ONGOING: Discovery phase. Depositions revealing more safety violations. Reserve at $125K, may need increase.",,,,,,,,,,,,,,,,,,,,,,,,,,
